Team First Last             Ag    G   AB    R    H  2B 3B  HR  RBI  BB   SO    BA   OBP   SLG  SB  CS GDP HBP  SH  SF IBB  OPS
 CIN Alex Gonzalez          30  110  393   55  107  27  1  16   55  24   75  .272  .325  .468   0   1  13   8   2   3   1   99
 CIN Adam Dunn              27  152  522  101  138  27  2  40  106 101  165  .264  .386  .554   9   2  12   5   0   4   8  136
 CIN Josh Hamilton          26   90  298   52   87  17  2  19   47  33   65  .292  .368  .554   3   3   6   4   0   2   4  131
 CIN Ken Griffey            37  144  528   78  146  24  1  30   93  85   99  .277  .372  .496   6   1  14   1   0   9  14  119
 CIN Norris Hopper          28  121  307   51  101  14  2   0   14  20   33  .329  .371  .388  14   6   8   1   6   1   1   94
 CIN Ryan Freel             31   75  277   44   68  13  3   3   16  18   47  .245  .308  .347  15   8   4   7   2   0   0   67
 CIN Javier Valentin        31   97  243   19   67  21  0   2   34  19   25  .276  .328  .387   0   0   7   1   0   2   2   82
 CIN Jeff Keppinger         27   67  241   39   80  16  2   5   32  24   12  .332  .400  .477   2   1  11   4   6   1   0  123
 CIN Jeff Conine            41   80  215   23   57  11  1   6   32  20   28  .265  .320  .409   4   0   4   0   1   6   0   84
 CIN Juan Castro            35   54   89    5   16   5  0   0    5   4   21  .180  .211  .236   0   0   2   0   3   2   0   14
 CIN Joey Votto             23   24   84   11   27   7  0   4   17   5   15  .321  .360  .548   1   0   0   0   0   0   1  127
 CIN Jorge Cantu            25   27   57    8   17   8  0   1    9   7   10  .298  .382  .491   0   0   3   2   0   2   0  121
 CIN Jason Ellison          29   37   48    7    9   1  0   1    2   5   15  .188  .278  .271   1   0   0   1   2   0   0   41
 CIN Chad Moeller           32   30   48    6    8   1  0   1    2   0   17  .167  .167  .250   0   0   2   0   1   0   0    4
 CIN Pedro Lopez            23   14   45    1    8   2  0   0    0   1   10  .178  .213  .222   0   0   0   1   0   0   0   11
 CIN Buck Coats             25   20   34    2    7   4  0   0    2   3   15  .206  .263  .324   0   0   1   0   0   1   0   49
 CIN Ryan Jorgensen         28    4   15    3    3   0  0   2    6   0    5  .200  .200  .600   0   0   0   0   0   0   0   93
 CIN Mark Bellhorn          32   13   14    2    1   0  0   0    1   4    5  .071  .278  .071   0   0   0   0   0   0   0   -4
 CIN Ryan Hanigan           26    5   10    3    3   1  0   0    2   1    2  .300  .364  .400   0   0   0   0   0   0   1   95
 CIN Dewayne Wise           29    5    5    1    1   0  1   0    1   1    1  .200  .333  .600   0   0   0   0   0   0   1  131
 CIN Enrique Cruz           25    1    1    0    0   0  0   0    0   0    0  .000  .000  .000   0   0   0   0   0   0   0 -100
 CIN Aaron Harang           29   33   74    0    7   1  0   0    2   1   28  .095  .117  .108   0   0   1   1  11   1   0  -42
 CIN Bronson Arroyo         30   33   70    5   10   2  0   1    3   2   30  .143  .178  .214   0   0   1   1   6   0   0    0
 CIN Matt Belisle           27   28   50    2    3   1  0   0    1   3   32  .060  .113  .080   1   0   1   0   8   0   0  -49
 CIN Kyle Lohse             28   19   33    1    5   0  0   0    1   1    7  .152  .171  .152   0   0   0   0   7   1   0  -17
 CIN Bobby Livingston       24   11   25    3    7   0  0   0    2   2    7  .280  .333  .280   0   0   1   0   4   0   0   59
 CIN Homer Bailey           21    8   11    3    3   1  0   0    2   0    5  .273  .273  .364   0   0   0   0   1   0   0   60
 CIN Tom Shearn             29    7   11    0    0   0  0   0    0   1    4  .000  .083  .000   0   0   1   0   1   0   0  -76
 CIN Eric Milton            31    6    7    0    1   0  0   0    2   0    2  .143  .143  .143   0   0   0   0   2   0   0  -27
 CIN Phil Dumatrait         25    6    6    0    0   0  0   0    0   0    4  .000  .000  .000   0   0   0   0   0   0   0 -100
 CIN Mike Gosling           26   22    5    0    0   0  0   0    0   0    3  .000  .000  .000   0   0   0   0   0   0   0 -100
